mean_acc_x,mean_acc_y,mean_acc_z,mean_gyro_x,mean_gyro_y,mean_gyro_z,std_acc_x,std_acc_y,std_acc_z,std_gyro_x,Activity
0.032838,0.038388,9.752507,-0.004535,0.003405,0.004423,0.011828,0.006034,0.046181,0.009459,SITTING
0.026046,0.017570,9.870525,-0.002201,-0.004048,0.002769,0.015097,0.025507,0.025929,0.005963,SITTING
0.041023,0.028771,9.824080,0.008598,0.000616,0.000580,0.032558,0.016747,0.046534,-0.000576,SITTING
0.038476,-0.007275,9.701767,-0.003593,-0.010744,-0.007155,0.018780,0.032892,0.044617,0.005772,SITTING
0.003602,-0.015370,9.775827,-0.001550,0.007583,0.000795,0.008923,0.038623,0.072915,0.001824,SITTING
0.031452,-0.018635,9.815051,0.002238,0.009031,-0.006601,0.022709,0.025612,0.039403,0.006617,SITTING
0.054247,0.007341,9.705841,0.002933,0.003629,-0.003507,0.019973,0.015260,0.039040,0.004943,SITTING
0.042936,-0.002141,9.829691,0.000222,0.005316,0.007134,0.028840,0.022217,0.068394,0.002782,SITTING
0.026070,0.014921,9.761808,-0.008323,-0.007307,-0.001883,0.015910,0.022485,0.040382,0.006339,SITTING
0.001068,0.020913,9.835229,-0.000359,0.002404,0.007295,0.027635,0.037221,0.052919,0.002016,SITTING
0.014015,0.037925,9.875587,-0.006017,-0.007535,0.007843,0.014403,0.027446,0.081473,0.008384,SITTING
0.006158,-0.025090,9.821993,0.004284,-0.001725,0.006997,0.037797,0.020674,0.075901,0.003252,SITTING
0.025377,0.028353,9.776546,0.003071,0.005315,0.005336,0.022967,0.023215,0.094486,0.007508,SITTING
-0.013866,0.022376,9.827902,-0.008764,0.009480,-0.002813,0.028952,0.018173,0.068595,0.003688,SITTING
0.007902,0.007771,9.817638,-0.004723,-0.001269,0.014385,0.021513,0.038470,0.058815,0.007632,SITTING
0.028940,0.006005,9.684239,0.001474,0.002960,-0.004041,-0.001507,0.036170,0.060947,0.009869,SITTING
0.017393,0.044481,9.843757,-0.000450,0.004167,0.006035,0.037830,0.033569,0.058919,0.009175,SITTING
0.010659,0.003964,9.799141,-0.005582,0.001861,0.010860,0.033759,0.007293,0.055841,0.009600,SITTING
0.012092,-0.006263,9.889000,0.002976,-0.000502,-0.009204,0.030869,0.009592,0.089233,0.007778,SITTING
0.037233,0.077793,9.775450,-0.002551,0.009852,-0.003212,0.016681,0.003012,0.039377,-0.002763,SITTING
0.016031,-0.003056,9.714334,0.001407,-0.004639,0.004483,0.007123,0.032509,0.050251,0.006970,SITTING
-0.016427,0.036298,9.830552,0.001617,0.003942,-0.001911,0.024334,0.012040,0.051280,0.002774,SITTING
0.033613,0.038396,9.861900,0.000646,-0.000829,0.006254,0.029441,0.013088,0.067719,-0.002600,SITTING
0.018326,0.028126,9.842093,-0.000740,0.007352,-0.000174,0.021557,0.026683,0.057370,0.005291,SITTING
-0.014777,0.014693,9.769843,0.000268,0.011411,0.010218,0.012256,0.018466,0.052744,0.002264,SITTING
0.013814,0.034464,9.778183,0.000095,0.006019,0.007931,0.016515,0.030537,0.050998,0.009102,SITTING
0.015335,0.020545,9.758474,0.002990,0.003174,0.003600,0.017756,0.029519,0.046928,0.001522,SITTING
0.028354,0.002124,9.803881,0.005849,-0.000097,0.000811,0.015268,0.011446,0.094104,0.003005,SITTING
0.046046,0.034467,9.841719,0.008539,0.011366,0.001878,0.028230,0.009358,0.023630,0.006186,SITTING
0.015876,0.038165,9.801952,0.003062,-0.002286,-0.001023,0.029311,0.024426,0.034719,0.001986,SITTING
0.032978,0.031647,9.773993,-0.003714,-0.003960,0.008890,0.036356,0.029829,0.033960,0.007109,SITTING
0.021346,-0.001975,9.786221,-0.006059,0.002990,-0.004624,0.015630,0.023855,0.012162,0.010227,SITTING
0.003760,0.031642,9.768329,0.000254,0.001713,0.005918,0.018131,-0.000827,0.045958,0.001615,SITTING
-0.000055,0.022024,9.763593,-0.003520,0.010557,0.001356,0.014661,0.021666,0.050121,0.006126,SITTING
0.021410,0.050777,9.935266,0.004627,-0.001547,0.007031,0.027687,0.008561,0.056342,0.007882,SITTING
-0.022195,0.030102,9.827988,0.005010,0.002108,0.001074,0.014962,0.022470,0.051807,0.008463,SITTING
0.024623,-0.015962,9.828815,0.006070,0.001835,0.009040,0.034418,0.019777,0.029544,0.007888,SITTING
-0.009308,0.008665,9.782323,-0.003153,0.010868,0.000752,0.012040,0.034538,0.059456,0.002830,SITTING
0.003388,0.055071,9.734427,-0.001869,-0.002121,-0.002052,0.043822,0.015629,0.033711,-0.001111,SITTING
0.013158,-0.019545,9.831424,-0.003147,-0.005184,0.002619,0.003672,0.008731,0.059230,0.002153,SITTING
0.029620,0.021524,9.691655,0.004110,-0.000004,0.001334,0.006144,0.006654,0.027261,0.005247,SITTING
0.023508,-0.004410,9.818218,0.002834,0.004101,-0.003005,0.023815,0.020157,0.053095,0.007759,SITTING
0.036127,0.040267,9.806120,-0.004324,0.005971,-0.000206,0.018699,0.013717,0.057063,0.001961,SITTING
